hs1	LINC00917-FENDRR	chr16:86,430,087-86,430,726	chr8:123,526,795-123,527,412
hs1010	FOXP1-EIF4E3	chr3:71,590,897-71,592,786	chr6:99,433,855-99,436,221
hs1011	LINC01029-SALL3	chr18:76,461,276-76,462,723	chr18:81,362,449-81,363,919
hs1012	LINC01122(intragenic)	chr2:58,770,304-58,771,290	chr11:25,999,721-26,000,689
hs1013	CCDC68-LOC101927229	chr18:52,699,870-52,701,226	chr18:70,004,301-70,005,666
hs1014	MIR2113-POU3F2	chr6:99,005,894-99,007,499	chr4:22,854,281-22,855,860
hs1015	PBX3-MVB12B	chr9:128,919,674-128,920,432	chr2:33,888,542-33,889,283
hs1017	PBX3(intragenic)	chr9:128,645,462-128,647,097	chr2:34,110,853-34,112,658
hs1018	LINC01122(intragenic)	chr2:58,809,796-58,811,611	chr11:25,961,992-25,963,810
hs1019	SP8-RPL23P8	chr7:20,838,843-20,840,395	chr12:120,072,953-120,074,549
hs1020	GALR1-LINC01029	chr18:75,496,338-75,498,507	chr18:82,094,120-82,096,175
hs1021	LOC101927285-MIR4432	chr2:59,998,338-59,999,656	chr11:24,748,028-24,749,346
hs1022	EBF1(intragenic)	chr5:158,486,120-158,487,498	chr11:44,469,977-44,471,371
hs1024	ARRDC3-AS1-NR2F1-AS1	chr5:92,312,840-92,314,645	chr13:79,076,503-79,078,270
hs1025	SPR-EMX1	chr2:73,124,730-73,126,091	chr6:85,114,949-85,116,468
hs1026	TLE4(intragenic)	chr9:82,244,801-82,246,758	chr19:14,614,752-14,616,896
hs1027	ZNF521(intragenic)	chr18:22,744,668-22,746,270	chr18:13,945,304-13,946,949
hs1029	POU3F4-CYLC1	chrX:82,765,974-82,767,821	chrX:108,012,322-108,014,077
hs1030	PBX3(intragenic)	chr9:128,516,934-128,518,372	chr2:34,218,968-34,220,330
hs1031	LOC339442-RRAGC	chr1:39,192,609-39,194,134	chr4:123,712,580-123,714,104
hs1032	EMX2-RAB11FIP2	chr10:119,309,200-119,310,544	chr19:59,539,995-59,541,288
hs1033	OSTM1-NR2E1	chr6:108,435,330-108,436,506	chr10:42,355,669-42,356,788
hs1034	ARRDC3-AS1-NR2F1-AS1	chr5:91,700,124-91,701,467	chr13:79,923,863-79,925,275
hs1035	LOC101927314(intragenic)	chr6:98,074,091-98,075,722	chr4:23,945,964-23,947,393
hs1038	ZIC1-AGTR1	chr3:147,748,015-147,749,579	chr9:90,634,620-90,636,312
hs1039	ARRDC3-AS1-NR2F1-AS1	chr5:92,031,088-92,033,197	chr13:79,415,516-79,417,645
hs1041	LOC101927450-TLE4	chr9:82,010,246-82,011,547	chr19:14,851,206-14,852,476
hs1042	LOC339568-LOC100505663	chr20:37,876,814-37,877,600	chr2:158,857,963-158,858,713
hs1043	ZIC4-ZIC1	chr3:147,125,146-147,126,336	chr9:91,261,696-91,263,040
hs1045	LOC339442-RRAGC	chr1:38,819,171-38,820,577	chr4:124,052,324-124,053,552
hs1047	LINC01029-SALL3	chr18:76,009,581-76,010,891	chr18:81,703,642-81,704,933
hs1049	ARRDC3-AS1-NR2F1-AS1	chr5:92,314,781-92,316,083	chr13:79,075,126-79,076,375
hs1050	RPL34-AS1(intragenic)	chr4:109,531,908-109,533,465	chr3:130,439,998-130,441,481
hs1052	RNF144B-MIR548A1	chr6:18,536,628-18,538,267	chr13:47,405,953-47,407,586
hs1053	HRH4-LOC729950	chr18:22,139,917-22,141,191	chr18:13,267,526-13,268,795
hs1054	LOC101927314-MIR2113	chr6:98,261,649-98,263,117	chr4:23,758,674-23,760,218
hs1055	LOC100505768-LOC101927891	chr1:88,402,821-88,404,888	chr3:143,276,854-143,278,834
hs1056	LINC01029-SALL3	chr18:76,481,722-76,483,257	chr18:81,349,711-81,351,278
hs1057	LOC101927285-MIR4432	chr2:59,888,700-59,891,476	chr11:24,881,420-24,884,196
hs1058	LOC100505768-LOC101927891	chr1:88,183,654-88,184,961	chr3:143,485,258-143,486,612
hs1059	LOC101927314(intragenic)	chr6:97,948,958-97,949,898	chr4:24,078,299-24,079,233
hs1060	ARRDC3-AS1-NR2F1-AS1	chr5:92,613,862-92,616,844	chr13:78,740,226-78,743,005
hs1062	MIR548AI(intragenic)	chr14:29,960,491-29,962,005	chr12:51,361,193-51,362,389
hs1063	LINC01122(intragenic)	chr2:58,857,680-58,858,956	chr11:25,907,936-25,909,346
hs1064	LINC00645-FOXG1	chr14:29,226,075-29,227,673	chr12:50,475,492-50,477,055
hs1066	LOC100132215-OTX1	chr2:63,275,695-63,277,103	chr11:21,902,483-21,903,827
hs1067	LINC01122(intragenic)	chr2:58,975,738-58,977,115	chr11:25,772,524-25,773,791
hs1068	LOC100505768-LOC101927891	chr1:88,841,735-88,843,091	chr3:142,823,870-142,825,252
hs1069	FOXP2(intragenic)	chr7:114,052,100-114,053,403	chr6:15,132,427-15,133,744
hs1071	LINC01122(intragenic)	chr2:58,799,729-58,800,607	chr11:25,972,119-25,972,975
hs1072	LOC101927285-MIR4432	chr2:60,055,628-60,056,970	chr11:24,683,037-24,684,368
hs1074	LOC101927450-TLE4	chr9:82,119,097-82,120,855	chr19:14,733,305-14,735,010
hs1075	LINC00645-FOXG1	chr14:28,398,563-28,400,621	chr12:49,488,858-49,490,921
hs1076	FANCL-LINC01122	chr2:58,695,819-58,697,323	chr11:26,063,483-26,064,974
hs1077	LINC01122(intragenic)	chr2:59,202,276-59,203,399	chr11:25,541,242-25,542,410
hs1078	TLE4(intragenic)	chr9:82,224,085-82,226,757	chr19:14,639,785-14,642,658
hs1079	ARRDC3-AS1-NR2F1-AS1	chr5:92,141,511-92,143,537	chr13:79,275,438-79,277,288
hs1080	FOXP2(intragenic)	chr7:114,261,073-114,263,089	chr6:15,318,271-15,320,231
hs1081	MIR2113-POU3F2	chr6:98,902,034-98,904,516	chr4:22,976,280-22,979,033
hs1082	PAX6(intragenic)	chr11:31,816,452-31,818,421	chr2:105,529,756-105,531,606
hs1083	LINC01029-SALL3	chr18:76,064,036-76,065,306	chr18:81,657,852-81,658,989
hs1084	ARRDC3-AS1-NR2F1-AS1	chr5:91,765,018-91,766,129	chr13:79,812,225-79,813,230
hs1085	MIR2113-POU3F2	chr6:99,089,361-99,091,043	chr4:22,762,230-22,763,904
hs1086	MAFB-TOP1	chr20:39,334,182-39,335,059	chr2:160,207,744-160,208,610
hs1087	EMX2-RAB11FIP2	chr10:119,491,936-119,493,137	chr19:59,713,226-59,714,464
hs1088	ZNF521(intragenic)	chr18:22,769,112-22,770,579	chr18:13,969,750-13,971,223
hs1090	LINC01122(intragenic)	chr2:58,811,475-58,812,905	chr11:25,960,684-25,962,130
hs1092	FOXP1(intragenic)	chr3:71,153,556-71,155,053	chr6:99,016,713-99,018,658
hs1093	TMEM182-LOC100287010	chr2:103,792,328-103,793,819	chr1:41,222,684-41,224,157
hs1094	MIR548A1-LOC101928519	chr6:18,662,790-18,664,038	chr13:47,492,491-47,494,165
hs1095	PBX3(intragenic)	chr9:128,640,165-128,641,327	chr2:34,115,715-34,116,889
hs1097	MIR8063-TMCO5A	chr15:37,371,729-37,373,137	chr2:115,870,622-115,872,021
hs1098	LOC339442-RRAGC	chr1:38,791,998-38,793,333	chr4:124,078,945-124,080,260
hs1099	PBX3(intragenic)	chr9:128,606,519-128,608,350	chr2:34,142,028-34,143,860
hs1100	FOXP4(intragenic)	chr6:41,560,717-41,562,075	chr17:48,008,828-48,010,025
hs1101	MAFB-TOP1	chr20:39,472,648-39,473,702	chr2:160,329,356-160,330,371
hs1102	PBX3(intragenic)	chr9:128,522,875-128,525,442	chr2:34,211,975-34,214,545
hs1103	PBX3-MVB12B	chr9:128,735,158-128,736,174	chr2:34,022,298-34,023,292
hs1104	ZNF521(intragenic)	chr18:22,657,391-22,658,788	chr18:13,862,159-13,863,563
hs1105	UTP11L-POU3F1	chr1:38,494,689-38,495,688	chr4:124,349,193-124,350,187
hs1106	MIR2113-POU3F2	chr6:98,572,398-98,573,780	chr4:23,431,544-23,432,890
hs1107	LOC100505768-LOC101927891	chr1:88,686,076-88,687,740	chr3:142,995,548-142,997,211
hs1108	PBX3-MVB12B	chr9:128,945,054-128,946,417	chr2:33,871,540-33,872,861
hs1109	ARRDC3-AS1-NR2F1-AS1	chr5:91,940,922-91,942,042	chr13:79,503,055-79,504,129
hs1110	SPRED2-MIR4778	chr2:66,510,556-66,511,795	chr11:19,059,808-19,061,024
hs1111	LOC101927285-MIR4432	chr2:60,516,097-60,518,092	chr11:24,212,332-24,214,280
hs1112	TMEM182-LOC100287010	chr2:103,909,358-103,911,221	chr1:41,331,725-41,333,705
hs1113	LINC01122(intragenic)	chr2:58,948,607-58,950,015	chr11:25,801,725-25,803,091
hs1114	ASCL1-C12orf42	chr12:103,371,349-103,372,610	chr10:86,936,027-86,937,336
hs1115	ZIC1-AGTR1	chr3:148,006,499-148,007,810	chr9:90,314,459-90,316,154
hs1116	FOXP1-MIR1284	chr3:71,446,827-71,448,809	chr6:99,296,426-99,298,655
hs1117	EBF1(intragenic)	chr5:158,508,842-158,510,137	chr11:44,447,834-44,449,111
hs1118	TLE4-TLE1	chr9:84,167,351-84,168,176	chr4:71,729,960-71,730,874
hs1119	LOC101927285(intragenic)	chr2:59,476,604-59,477,955	chr11:25,256,345-25,257,682
hs1120	LOC101927285-MIR4432	chr2:60,223,849-60,225,179	chr11:24,518,259-24,519,578
hs1121	LINC01158(intragenic)	chr2:105,452,973-105,454,169	chr1:42,735,090-42,736,264
hs1122	PAH-ASCL1	chr12:103,345,263-103,346,680	chr10:86,963,003-86,964,413
hs1123	EBF1(intragenic)	chr5:158,517,785-158,518,914	chr11:44,439,096-44,440,199
hs1124	MIR3659-LOC339442	chr1:38,627,529-38,629,265	chr4:124,228,289-124,229,428
hs1125	TMEM182-LOC100287010	chr2:103,548,426-103,549,712	chr1:41,011,131-41,012,431
hs1126	TMEM182-LOC100287010	chr2:104,576,225-104,577,270	chr1:41,867,727-41,868,767
hs1127	MIR4307-LINC00645	chr14:27,553,786-27,555,661	chr12:48,565,971-48,567,832
hs1128	MIR2113-POU3F2	chr6:98,829,860-98,831,049	chr4:23,074,825-23,075,982
hs1129	MEIS2(intragenic)	chr15:37,216,993-37,219,601	chr2:115,722,165-115,725,136
hs1130	CLINT1-LOC101927697	chr5:157,589,029-157,590,477	chr11:45,363,394-45,364,817
hs1131	LOC100287010-LINC01102	chr2:105,032,493-105,034,445	chr1:42,299,260-42,301,492
hs1132	GLI3-LOC101928795	chr7:42,432,266-42,433,365	chr13:15,392,886-15,393,968
hs1134	LMO4(intragenic)	chr1:87,803,415-87,805,212	chr3:143,857,473-143,859,391
hs1135	LOC100505768-LOC101927891	chr1:88,595,049-88,596,320	chr3:143,096,829-143,097,998
hs1136	PBX1(intragenic)	chr1:164,700,259-164,701,522	chr1:170,198,703-170,199,987
hs1137	EBF1(intragenic)	chr5:158,227,696-158,229,500	chr11:44,716,742-44,718,500
hs1138	ZNF521-SS18	chr18:23,283,479-23,284,795	chr18:14,463,529-14,464,787
hs1139	LOC339442-RRAGC	chr1:39,248,757-39,250,129	chr4:123,667,603-123,669,038
hs1140	TMEM182-LOC100287010	chr2:104,648,312-104,650,249	chr1:41,953,149-41,955,025
hs1141	LINC01029-SALL3	chr18:76,070,697-76,071,834	chr18:81,651,872-81,652,644
hs1142	BCL11A-PAPOLG	chr2:60,855,056-60,856,888	chr11:23,915,166-23,917,101
hs1143	LINC01122-LOC101927285	chr2:59,303,870-59,305,029	chr11:25,431,831-25,432,986
hs1144	PBX1(intragenic)	chr1:164,668,592-164,669,823	chr1:170,229,895-170,231,111
hs1145	NCR2-FOXP4	chr6:41,436,815-41,438,024	chr17:48,145,134-48,146,173
hs1146	ARRDC3-AS1-NR2F1-AS1	chr5:92,426,546-92,428,433	chr13:78,938,413-78,940,186
hs1147	TMEM182-LOC100287010	chr2:104,285,458-104,286,792	chr1:41,615,380-41,616,741
hs1148	RPL23P8-SP4	chr7:21,019,551-21,021,200	chr12:119,941,220-119,942,766
hs1149	FOXP1-MIR1284	chr3:71,573,607-71,574,540	chr6:99,416,870-99,417,813
hs1150	OTX2-AS1-EXOC5	chr14:57,419,008-57,421,445	chr14:49,418,899-49,421,325
hs1151	LOC101927620-MIR5580	chr14:53,833,457-53,836,210	chr14:46,444,825-46,447,622
hs1152	LINC01122(intragenic)	chr2:58,859,997-58,861,674	chr11:25,905,543-25,907,097
hs1153	ARRDC3-AS1-NR2F1-AS1	chr5:92,219,848-92,221,133	chr13:79,185,986-79,187,173
hs1154	LINC01122(intragenic)	chr2:59,203,217-59,204,548	chr11:25,539,787-25,541,406
hs1155	ARRDC3-AS1-NR2F1-AS1	chr5:92,035,493-92,036,961	chr13:79,412,010-79,413,505
hs1156	NUF2-LOC100422212	chr1:163,359,231-163,360,494	chr1:171,406,803-171,408,138
hs1159	MIR2113-POU3F2	chr6:98,831,075-98,833,042	chr4:23,072,691-23,074,799
hs1160	FOXP1-MIR1284	chr3:71,253,670-71,255,013	chr6:99,119,012-99,120,086
hs1161	LOC100505768-LOC101927891	chr1:88,025,863-88,027,203	chr3:143,648,019-143,649,358
hs1162	ARRDC3-AS1-NR2F1-AS1	chr5:91,828,131-91,829,295	chr13:79,689,588-79,690,728
hs1163	TLE4-TLE1	chr9:82,590,314-82,593,174	chr19:14,313,800-14,316,687
hs1164	LOC101927285-MIR4432	chr2:60,005,531-60,007,545	chr11:24,739,672-24,741,740
hs1166	SFTA3(intragenic)	chr14:36,973,775-36,974,585	chr12:57,621,170-57,622,016
hs1167	FOXP2(intragenic)	chr7:114,055,419-114,056,748	chr6:15,135,821-15,137,224
hs1168	C14orf23-MIR548AI	chr14:29,743,374-29,745,881	chr12:51,092,779-51,095,206
hs1169	LOC729950(intragenic)	chr18:22,235,986-22,237,388	chr18:13,379,942-13,381,209
hs1170	ARRDC3-AS1-NR2F1-AS1	chr5:92,526,066-92,527,353	chr13:78,817,206-78,818,434
hs1172	ARRDC3-AS1-NR2F1-AS1	chr5:92,634,702-92,636,476	chr13:78,719,845-78,721,773
hs1173	ZIC1-AGTR1	chr3:147,378,547-147,380,603	chr9:90,982,786-90,984,929
hs1174	LINC01122(intragenic)	chr2:58,748,340-58,750,140	chr11:26,020,371-26,022,138
hs1175	ID4-MBOAT1	chr6:19,976,157-19,977,513	chr13:48,478,914-48,480,301
hs1176	BCL11A-PAPOLG	chr2:60,794,812-60,796,264	chr11:23,962,086-23,963,576
hs1177	LINC01103-LINC01114	chr2:105,300,344-105,301,657	chr1:42,578,225-42,580,707
hs1178	MIR8063-TMCO5A	chr15:37,347,604-37,349,955	chr2:115,843,784-115,846,211
hs1179	MIR3659-LOC339442	chr1:38,656,780-38,657,626	chr4:124,203,543-124,204,381
hs1180	LOC729950-ZNF521	chr18:22,616,831-22,618,682	chr18:13,824,482-13,826,320
hs1181	LINC01122(intragenic)	chr2:59,178,992-59,180,242	chr11:25,563,686-25,564,863
hs1183	TLE4(intragenic)	chr9:82,266,057-82,267,053	chr19:14,592,602-14,593,573
hs1184	ZIC1-AGTR1	chr3:147,393,021-147,394,349	chr9:90,968,163-90,969,506
hs1185	LOC100422212-PBX1	chr1:163,507,965-163,509,139	chr1:171,273,830-171,275,322
hs1186	GALR1-LINC01029	chr18:75,569,573-75,570,862	chr18:82,027,406-82,028,702
hs1187	LOC100287592-LOC642366	chr5:50,390,899-50,392,257	chr13:117,364,725-117,366,094
hs1188	C21orf62-OLIG2	chr21:34,290,782-34,292,115	chr16:91,140,397-91,141,656
hs1189	OSTM1-NR2E1	chr6:108,437,243-108,438,452	chr10:42,353,886-42,354,978
hs1191	LOC100505795-LMX1A	chr1:164,805,507-164,806,794	chr1:170,098,750-170,100,204
hs1192	MIR3666-MDFIC	chr7:114,463,797-114,464,462	chr6:15,560,145-15,560,753
hs1193	C14orf23-MIR548AI	chr14:29,894,197-29,895,582	chr12:51,258,446-51,259,795
hs1194	LINC01029-SALL3	chr18:76,517,730-76,518,836	chr18:81,328,217-81,329,285
hs1195	GALR1-LINC01029	chr18:75,467,090-75,468,311	chr18:82,119,763-82,121,297
hs1196	LINC01122(intragenic)	chr2:59,161,996-59,164,461	chr11:25,574,201-25,576,633
hs1197	LOC101927577(intragenic)	chr2:66,924,703-66,926,115	chr11:18,649,401-18,650,626
hs1198	LOC100505768-LOC101927891	chr1:88,535,719-88,538,390	chr3:143,159,186-143,161,922
hs1199	LINC01122(intragenic)	chr2:59,102,071-59,103,380	chr11:25,636,856-25,638,024
hs1200	LOC100505768-LOC101927891	chr1:88,577,535-88,578,821	chr3:143,117,113-143,118,348
hs1201	MIR548AI(intragenic)	chr14:29,911,320-29,912,514	chr12:51,272,722-51,273,948
hs1202	PBX1(intragenic)	chr1:164,604,141-164,605,474	chr1:170,287,224-170,288,666
hs1203	ZIC1-AGTR1	chr3:147,802,357-147,803,586	chr9:90,586,147-90,587,363
hs1204	LOC101927285-MIR4432	chr2:59,896,819-59,898,978	chr11:24,874,129-24,876,254
hs1205	NKX2-4-NKX2-2	chr20:21,488,551-21,490,021	chr2:147,006,026-147,007,317
hs1206	MEIS1(intragenic)	chr2:66,749,539-66,750,931	chr11:18,829,403-18,830,773
hs1207	ERBB4(intragenic)	chr2:213,141,079-213,142,308	chr1:68,911,420-68,913,271
hs1208	LOC101927697-EBF1	chr5:158,017,768-158,019,067	chr11:44,949,892-44,951,169
hs1209	LOC101927285-MIR4432	chr2:59,894,793-59,896,957	chr11:24,876,120-24,878,364
hs1210	MEIS1(intragenic)	chr2:66,762,515-66,765,088	chr11:18,816,167-18,818,733
hs1211	TLE4-TLE1	chr9:83,122,286-83,123,599	chr4:70,471,051-70,472,694
hs1212	TMEM182-LOC100287010	chr2:103,538,361-103,539,868	chr1:40,999,650-41,001,115
hs1213	GLI3(intragenic)	chr7:42,252,831-42,254,560	chr13:15,577,283-15,579,001
hs1214	LINC01212-FOXP1	chr3:70,701,489-70,702,904	chr6:98,575,744-98,577,131
hs1215	FOXP2(intragenic)	chr7:114,292,900-114,293,972	chr6:15,354,452-15,355,550
hs1216	LOC100505768-LOC101927891	chr1:88,646,698-88,648,145	chr3:143,040,720-143,042,111
hs1217	LOC100505768-LOC101927891	chr1:88,065,041-88,066,530	chr3:143,609,910-143,611,449
hs1218	OTX2-AS1-EXOC5	chr14:57,430,887-57,432,346	chr14:49,434,278-49,435,793
hs1220	LOC101927314-MIR2113	chr6:98,212,329-98,214,701	chr4:23,796,955-23,798,978
hs1221	EMX2-RAB11FIP2	chr10:119,313,709-119,314,860	chr19:59,544,411-59,545,792
hs1222	ARRDC3-AS1-NR2F1-AS1	chr5:92,536,353-92,537,380	chr13:78,797,259-78,798,291
hs1223	RPL23P8-SP4	chr7:21,239,775-21,240,922	chr12:119,738,466-119,739,538
hs1224	ZIC1-AGTR1	chr3:147,651,676-147,653,436	chr9:90,728,024-90,729,843
hs1225	NCR2-FOXP4	chr6:41,380,559-41,381,515	chr17:48,194,192-48,195,097
hs1226	RPL23P8-SP4	chr7:21,080,801-21,082,086	chr12:119,888,961-119,890,205
hs1227	ARRDC3-AS1-NR2F1-AS1	chr5:91,271,776-91,272,886	chr13:80,374,268-80,375,358
hs1228	TLE4-TLE1	chr9:83,711,693-83,712,782	chr4:71,127,309-71,128,361
hs1229	SPRED2-MIR4778	chr2:66,397,542-66,398,943	chr11:19,164,925-19,166,024
hs1230	LOC100422212-PBX1	chr1:164,197,827-164,199,172	chr1:170,691,099-170,693,241
hs1231	FOXP1(intragenic)	chr3:71,026,229-71,026,764	chr6:98,894,753-98,895,311
hs1232	LINC01122(intragenic)	chr2:58,891,096-58,892,548	chr11:25,878,213-25,879,693
hs1233	MIR2113-POU3F2	chr6:98,504,034-98,506,058	chr4:23,517,189-23,519,186
hs1234	MAFB-TOP1	chr20:39,347,264-39,348,213	chr2:160,221,444-160,222,413
hs1235	PBX1(intragenic)	chr1:164,620,038-164,621,164	chr1:170,271,728-170,272,964
hs1236	EMX2-RAB11FIP2	chr10:119,589,659-119,591,176	chr19:59,793,001-59,794,370
hs1237	LOC339568-LOC100505663	chr20:38,580,899-38,582,010	chr2:159,538,163-159,539,151
hs1239	YTHDF3-LOC286184	chr8:64,564,272-64,565,973	chr3:16,776,170-16,778,776
hs1240	LINC00989(intragenic)	chr4:80,430,584-80,431,224	chr5:97,975,841-97,976,458
hs1241	LINC00989(intragenic)	chr4:80,426,144-80,427,098	chr5:97,971,980-97,972,784
hs1242	GRIN2A-ATF7IP2	chr16:10,319,829-10,320,876	chr16:10,051,210-10,052,068
hs1243	ASB18(intragenic)	chr2:237,165,066-237,166,143	chr1:91,903,350-91,904,381
hs1244	LOC101927577-LOC101060019	chr2:67,052,101-67,052,901	chr11:18,504,269-18,505,271
hs1245	ZNF804A-LOC101927196	chr2:186,035,364-186,036,499	chr2:82,338,186-82,339,293
hs1246	TEX29-SOX1	chr13:112,268,067-112,269,088	chr8:12,065,991-12,066,965
hs1248	HS3ST1-RAB28	chr4:12,899,030-12,900,803	chr5:41,556,555-41,558,212
hs1249	HS3ST1-RAB28	chr4:12,950,899-12,952,450	chr5:41,590,346-41,591,947
hs1250	HS3ST1-RAB28	chr4:13,126,482-13,127,376	chr5:41,771,750-41,772,580
hs1251	C3orf55-SHOX2	chr3:157,775,742-157,778,000	chr3:66,738,657-66,741,162
hs1252	TFAP2A(intragenic)	chr6:10,407,432-10,410,045	chr13:40,820,923-40,823,623
hs1253	LOC101927619(intragenic)	chr2:199,226,864-199,228,567	chr1:56,003,978-56,005,830
hs1254	RSRC1(intragenic)	chr3:158,009,522-158,010,836	chr3:66,974,540-66,975,892
hs1255	LOC101929631(intragenic)	chr1:218,222,277-218,224,086	chr1:188,732,195-188,733,956
hs1256	MSX2-MIR4634	chr5:174,160,174-174,161,834	chr13:53,558,572-53,560,218
hs1257	LINC00210-LOC101929631	chr1:218,207,432-218,208,498	chr1:188,746,189-188,747,384
hs1258	LOC100507346-LINC00476	chr9:98,257,859-98,259,405	chr13:63,655,468-63,657,042
hs1268	RBM33(intragenic)	chr7:155,547,616-155,548,788	chr5:28,730,295-28,731,422
hs1271	MN1-PITPNB	chr22:28,238,313-28,239,718	chr5:111,823,060-111,824,177
hs1273	OSR1-LINC00954	chr2:19,774,115-19,776,218	chr12:9,344,323-9,346,407
hs1276	OSR1-LINC00954	chr2:19,740,634-19,741,760	chr12:9,375,009-9,376,121
hs1278	LOC101929395-LOC101929413	chr20:10,793,183-10,794,439	chr2:137,073,444-137,074,711
hs1286	TPRG1-AS2-TP63	chr3:189,233,649-189,234,301	chr16:25,587,941-25,588,571
hs1290	OSR1-LINC00954	chr2:19,578,175-19,579,415	chr12:9,556,909-9,558,261
hs1299	FOXN3(intragenic)	chr14:89,814,702-89,816,977	chr12:100,577,316-100,579,580
hs1300	LOC102467079-TOX3	chr16:52,468,529-52,471,762	chr8:92,767,720-92,770,785
hs1301	MIR6073-C11orf58	chr11:16,423,269-16,426,037	chr7:123,008,108-123,010,987
hs1302	RFPL4B-MARCKS	chr6:112,822,313-112,826,325	chr10:38,272,075-38,275,885
hs1303	TMEM182-LOC100287010	chr2:104,667,872-104,670,648	chr1:41,974,343-41,977,450
hs1304	LINC00478(intragenic)	chr21:17,681,162-17,682,802	chr16:77,421,141-77,422,883
hs1305	MRPS28(intragenic)	chr8:80,874,361-80,876,746	chr3:8,865,055-8,867,293
hs1308	LOC100506682-GCC1	chr7:127,174,386-127,177,546	chr6:28,345,025-28,348,247
hs1309	LOC645030-MGC34796	chr1:61,917,795-61,920,190	chr4:97,774,300-97,776,785
hs1310	MIR4644-PSMB1	chr6:170,747,095-170,748,864	chr17:15,577,084-15,578,324
hs1311	ZC3H12C(intragenic)	chr11:110,000,895-110,003,234	chr9:51,956,029-51,958,497
hs1312	LOC101929681-CDH6	chr5:30,994,283-30,996,047	chr15:13,322,305-13,324,026
hs1314	TEAD1(intragenic)	chr11:12,865,332-12,868,546	chr7:119,968,126-119,970,923
hs1315	HULC-TFAP2A	chr6:9,095,334-9,096,985	chr13:39,615,137-39,616,718
hs1316	CADPS(intragenic)	chr3:62,405,817-62,408,099	chr14:13,225,035-13,227,325
hs1318	ZFHX4(intragenic)	chr8:77,598,007-77,600,645	chr3:5,223,534-5,226,222
hs1319	ACADSB-HMX3	chr10:124,827,454-124,829,734	chr7:138,607,460-138,609,366
hs1320	NR2F2-SPATA8-AS1	chr15:97,128,054-97,130,294	chr7:77,262,034-77,264,318
hs1321	LOC100287592-LOC642366	chr5:50,467,950-50,469,989	chr13:117,304,210-117,306,202
hs1322	NEK7(intragenic)	chr1:198,263,562-198,265,742	chr1:140,395,736-140,397,908
hs1323	NTRK2(intragenic)	chr9:87,604,796-87,606,909	chr13:59,192,531-59,194,533
hs1324	RPS6KC1-LINC00538	chr1:213,498,112-213,501,134	chr1:192,551,182-192,554,052
hs1325	NPVF-RNU6-16P	chr7:25,791,903-25,794,282	chr6:51,026,185-51,028,597
hs1326	TOX(intragenic)	chr8:59,941,214-59,943,636	chr4:6,839,617-6,841,926
hs1327	MIR548BA-LOC100506858	chr5:2,204,457-2,208,380	chr13:73,170,586-73,173,630
hs1328	ASS1(intragenic)	chr9:133,353,647-133,355,097	chr2:31,354,831-31,356,347
hs1329	MIR4288-EXTL3	chr8:28,370,867-28,371,860	chr14:65,863,910-65,865,029
hs1330	NBEA(intragenic)	chr13:35,772,272-35,774,420	chr3:55,768,656-55,770,664
hs1331	POU2F1(intragenic)	chr1:167,296,954-167,299,046	chr1:167,864,365-167,866,438
hs1332	LINC01206-FLJ46066	chr3:181,958,774-181,961,127	chr3:34,986,458-34,988,687
hs1333	NBEA(intragenic)	chr13:36,072,914-36,075,972	chr3:55,557,893-55,561,681
hs1334	PCAT5-ANKRD30A	chr10:37,054,745-37,057,224	chr18:8,043,681-8,045,850
hs1335	CASC14-PRL	chr6:22,148,574-22,151,387	chr13:28,507,001-28,509,797
hs1336	BMPER(intragenic)	chr7:34,097,962-34,100,011	chr9:23,182,371-23,184,296
hs1338	ZNF608-LOC101927421	chr5:124,244,194-124,245,446	chr18:55,295,572-55,296,822
hs1339	UNQ6494(intragenic)	chr9:92,292,484-92,293,889	chr13:52,015,574-52,016,990
hs1340	CDKAL1(intragenic)	chr6:20,867,105-20,870,529	chr13:29,701,055-29,703,698
hs1341	NEDD1-RMST	chr12:97,468,703-97,471,089	chr10:92,018,471-92,020,553
hs1344	OPA1-AS1-LOC647323	chr3:193,660,817-193,662,478	chr16:29,882,522-29,884,217
hs1345	FBXL17(intragenic)	chr5:107,299,863-107,302,976	chr17:63,520,771-63,522,886
hs1346	OLIG1-LOC101928107	chr21:34,465,959-34,469,066	chr16:91,291,113-91,293,688
hs1348	NRXN1(intragenic)	chr2:50,840,428-50,844,037	chr17:91,094,644-91,097,357
hs1350	RFX3(intragenic)	chr9:3,401,031-3,402,562	chr19:27,978,738-27,980,087
hs1351	MYB-AHI1	chr6:135,601,698-135,604,052	chr10:20,801,576-20,803,939
hs1352	HDGFL1-NRSN1	chr6:23,180,012-23,182,186	chr13:26,245,822-26,247,995
hs1354	ASCL1-C12orf42	chr12:103,405,885-103,408,290	chr10:86,909,293-86,912,234
hs1358	PACRG(intragenic)	chr6:163,276,830-163,279,930	chr17:10,936,792-10,939,045
hs1359	TLE1(intragenic)	chr9:84,264,195-84,266,950	chr4:71,827,361-71,829,994
hs1360	TLE4(intragenic)	chr9:82,276,120-82,278,534	chr19:14,580,800-14,583,122
hs1361	DEAR-FBXW7	chr4:153,287,655-153,290,517	chr3:84,741,019-84,743,495
hs1362	SETBP1(intragenic)	chr18:42,322,323-42,326,001	chr18:79,244,605-79,248,457
hs1363	SLC14A2(intragenic)	chr18:42,942,363-42,944,135	chr18:78,651,312-78,652,961
